R Z Er Ez Bphi
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -0.000000000000000000e+00
0.000000000000000000e+00 2.500000000000000052e-04 0.000000000000000000e+00 -9.999674122706513346e-01 -0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000104e-04 0.000000000000000000e+00 -9.998651058230875188e-01 -0.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000156e-04 0.000000000000000000e+00 -9.996955231210125081e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000021e-03 0.000000000000000000e+00 -9.994586733986936533e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.250000000000000026e-03 0.000000000000000000e+00 -9.991536424636673352e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.500000000000000031e-03 0.000000000000000000e+00 -9.987804256987997675e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.750000000000000036e-03 0.000000000000000000e+00 -9.983388338016107033e-01 -0.000000000000000000e+00
0.000000000000000000e+00 2.000000000000000042e-03 0.000000000000000000e+00 -9.978286266811501326e-01 -0.000000000000000000e+00
0.000000000000000000e+00 2.250000000000000264e-03 0.000000000000000000e+00 -9.972495042237308205e-01 -0.000000000000000000e+00
0.000000000000000000e+00 2.500000000000000052e-03 0.000000000000000000e+00 -9.966011386128625915e-01 -0.000000000000000000e+00
0.000000000000000000e+00 2.749999999999999840e-03 0.000000000000000000e+00 -9.958831604778529689e-01 -0.000000000000000000e+00
0.000000000000000000e+00 3.000000000000000062e-03 0.000000000000000000e+00 -9.950951542766732771e-01 -0.000000000000000000e+00
0.000000000000000000e+00 3.250000000000000284e-03 0.000000000000000000e+00 -9.942366721473582247e-01 -0.000000000000000000e+00
0.000000000000000000e+00 3.500000000000000073e-03 0.000000000000000000e+00 -9.933072292908743384e-01 -0.000000000000000000e+00
0.000000000000000000e+00 3.749999999999999861e-03 0.000000000000000000e+00 -9.923062855025835960e-01 -0.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000083e-03 0.000000000000000000e+00 -9.912332774921797096e-01 -0.000000000000000000e+00
0.000000000000000000e+00 4.250000000000000305e-03 0.000000000000000000e+00 -9.900875911808868501e-01 -0.000000000000000000e+00
0.000000000000000000e+00 4.500000000000000527e-03 0.000000000000000000e+00 -9.888685801699926836e-01 -0.000000000000000000e+00
0.000000000000000000e+00 4.749999999999999882e-03 0.000000000000000000e+00 -9.875755472723152240e-01 -0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000104e-03 0.000000000000000000e+00 -9.862077629807363133e-01 -0.000000000000000000e+00
0.000000000000000000e+00 5.250000000000000326e-03 0.000000000000000000e+00 -9.847644469996688077e-01 -0.000000000000000000e+00
0.000000000000000000e+00 5.499999999999999681e-03 0.000000000000000000e+00 -9.832447867135883923e-01 -0.000000000000000000e+00
0.000000000000000000e+00 5.749999999999999903e-03 0.000000000000000000e+00 -9.816479233356352196e-01 -0.000000000000000000e+00
0.000000000000000000e+00 6.000000000000000125e-03 0.000000000000000000e+00 -9.799729565247463636e-01 -0.000000000000000000e+00
0.000000000000000000e+00 6.250000000000000347e-03 0.000000000000000000e+00 -9.782189443856555977e-01 -0.000000000000000000e+00
0.000000000000000000e+00 6.500000000000000569e-03 0.000000000000000000e+00 -9.763849034688941719e-01 -0.000000000000000000e+00
0.000000000000000000e+00 6.749999999999999924e-03 0.000000000000000000e+00 -9.744698087707901468e-01 -0.000000000000000000e+00
0.000000000000000000e+00 7.000000000000000146e-03 0.000000000000000000e+00 -9.724725844992020418e-01 -0.000000000000000000e+00
0.000000000000000000e+00 7.250000000000000368e-03 0.000000000000000000e+00 -9.703921225420517604e-01 -0.000000000000000000e+00
0.000000000000000000e+00 7.499999999999999722e-03 0.000000000000000000e+00 -9.682272686159251185e-01 -0.000000000000000000e+00
0.000000000000000000e+00 7.749999999999999944e-03 0.000000000000000000e+00 -9.659768176489378355e-01 -0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000167e-03 0.000000000000000000e+00 -9.636395368664040229e-01 -0.000000000000000000e+00
0.000000000000000000e+00 8.250000000000000389e-03 0.000000000000000000e+00 -9.612141334708993456e-01 -0.000000000000000000e+00
0.000000000000000000e+00 8.500000000000000611e-03 0.000000000000000000e+00 -9.586992823450642964e-01 -0.000000000000000000e+00
0.000000000000000000e+00 8.750000000000000833e-03 0.000000000000000000e+00 -9.560936075830696046e-01 -0.000000000000000000e+00
0.000000000000000000e+00 9.000000000000001055e-03 0.000000000000000000e+00 -9.533957055762832811e-01 -0.000000000000000000e+00
0.000000000000000000e+00 9.249999999999999542e-03 0.000000000000000000e+00 -9.506041080762024365e-01 -0.000000000000000000e+00
0.000000000000000000e+00 9.499999999999999764e-03 0.000000000000000000e+00 -9.477173145143890087e-01 -0.000000000000000000e+00
0.000000000000000000e+00 9.749999999999999986e-03 0.000000000000000000e+00 -9.447337873853351997e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000021e-02 0.000000000000000000e+00 -9.416519383950632260e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.025000000000000043e-02 0.000000000000000000e+00 -9.384701376953920038e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.050000000000000065e-02 0.000000000000000000e+00 -9.351867185010716010e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.075000000000000087e-02 0.000000000000000000e+00 -9.317999724726491184e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.099999999999999936e-02 0.000000000000000000e+00 -9.283081404822014493e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.124999999999999958e-02 0.000000000000000000e+00 -9.247094356990034347e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.149999999999999981e-02 0.000000000000000000e+00 -9.210020297381268373e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.175000000000000003e-02 0.000000000000000000e+00 -9.171840526604407851e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.200000000000000025e-02 0.000000000000000000e+00 -9.132535975897454472e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.225000000000000047e-02 0.000000000000000000e+00 -9.092087207127709236e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.250000000000000069e-02 0.000000000000000000e+00 -9.050474505134460390e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.275000000000000092e-02 0.000000000000000000e+00 -9.007677739214964285e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.300000000000000114e-02 0.000000000000000000e+00 -8.963676455467122217e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.324999999999999963e-02 0.000000000000000000e+00 -8.918449969132152821e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.349999999999999985e-02 0.000000000000000000e+00 -8.871977226080580703e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.375000000000000007e-02 0.000000000000000000e+00 -8.824236987497586782e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.400000000000000029e-02 0.000000000000000000e+00 -8.775207645197656836e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.425000000000000051e-02 0.000000000000000000e+00 -8.724867498652605358e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.450000000000000074e-02 0.000000000000000000e+00 -8.673194570306225204e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.475000000000000096e-02 0.000000000000000000e+00 -8.620166697916966658e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.499999999999999944e-02 0.000000000000000000e+00 -8.565799579739260539e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.524999999999999967e-02 0.000000000000000000e+00 -8.509995424882259574e-01 -0.000000000000000000e+00
0.000000000000000000e+00 1.549999999999999989e-02 0.000000000000000000e+00 -8.452769239030348825e-01 -0.000000000000000000e+00
